response,context1,context2,context3,context4,context5,context6,context7
No. But I can show you.,Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?,"Hello Harry Potter, my name is Tom Riddle.",My name is Harry Potter.,"""""""Tom Marvel Riddle.""""""",Who-ooh-whoop...
Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?,"Hello Harry Potter, my name is Tom Riddle.",My name is Harry Potter.,"""""""Tom Marvel Riddle."""""""
13th June..,Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?,"Hello Harry Potter, my name is Tom Riddle.",My name is Harry Potter.
Excuse me.,13th June..,Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?,"Hello Harry Potter, my name is Tom Riddle."
Could you tell me what's going on here?,Excuse me.,13th June..,Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?,Yes.,Do you know anything about the Chamber of Secrets?
Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.,13th June..,Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?,Yes.
"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.,13th June..,Let me take you back fifty years ago.,No. But I can show you.,Can you tell me?
Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.,13th June..,Let me take you back fifty years ago.,No. But I can show you.
Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.,13th June..,Let me take you back fifty years ago.
Dumbledore?,Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.,13th June..
"It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?,Excuse me.
"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?,Could you tell me what's going on here?
I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?",Are you Tom Riddle?
"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.,Riddle! Come.,"Hello, can you hear me?"
They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.,Riddle! Come.
About the school as well?,They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?,Professor Dumbledore.
I don't have a home to go to.,About the school as well?,They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom.",Dumbledore?
"They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?,They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I...","It is not wise to be wandering around this late hour, Tom."
"I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?,They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.,"Yes, professor. I suppose I..."
"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?,They are true.,"I'm afraid they are, Tom.",I had to see for myself if the rumors were true.
Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?,They are true.,"I'm afraid they are, Tom."
"No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?,They are true.
"Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.,About the school as well?
"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?",I don't have a home to go to.
Let's get you out of there.,"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice.","They wouldn't really close Hogwarts, would they, professor?"
"Evening, Hard.",Let's get you out of there.,"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught...","I understand, Tom, but I'm afraid Headmaster Dipped may have no choice."
I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.,"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?,"Sir, if it all stopped, if the person responsible was caught..."
I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.,"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing.",Is there something you wish to tell me?
You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.,"Good night, sir.","Very well, then. Off you go.","No, sir. Nothing."
The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.,"Good night, sir.","Very well, then. Off you go."
The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.,"Good night, sir."
It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard.",Let's get you out of there.
Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard,"Evening, Hard."
"Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...,I'm going to have to turn you in Hard
"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.,I don't think you meant it to kill anyone...
No!,"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.,You can't. You don't understand.
"Stand aside, Hard.",No!,"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,The dead girl's parents will be here tomorrow.
No!,"Stand aside, Hard.",No!,"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
System April!,No!,"Stand aside, Hard.",No!,"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.,It wasn't him.
Arabia Exumai!,System April!,No!,"Stand aside, Hard.",No!,"Now, stand aside.","Monsters don't make good pets, Hard.",Dragon never killed no one. Never.
Dragon! Dragon!,Arabia Exumai!,System April!,No!,"Stand aside, Hard.",No!,"Now, stand aside.","Monsters don't make good pets, Hard."
I can't let you go.,Dragon! Dragon!,Arabia Exumai!,System April!,No!,"Stand aside, Hard.",No!,"Now, stand aside."
"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!,Arabia Exumai!,System April!,No!,"Stand aside, Hard.",No!
You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!,Arabia Exumai!,System April!,No!,"Stand aside, Hard."
Hard!,You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!,Arabia Exumai!,System April!,No!
HAAGRIIID!,Hard!,You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!,Arabia Exumai!,System April!
Wow!,HAAGRIIID!,Hard!,You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!,Arabia Exumai!
It was Hard.,Wow!,HAAGRIIID!,Hard!,You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.,Dragon! Dragon!
Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!,HAAGRIIID!,Hard!,You'll be expelled.,"They'll have your wand for this, Hard.",I can't let you go.
It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!,HAAGRIIID!,Hard!,You'll be expelled.,"They'll have your wand for this, Hard."
It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!,HAAGRIIID!,Hard!,You'll be expelled.
We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!,HAAGRIIID!,Hard!
"He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!,HAAGRIIID!
"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.,Wow!
What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.,It was Hard.
"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.,Hard opened the Chamber of Secrets 50 years ago.
Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.,It can't be Hard.
That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.,It just can't be.
"""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch.",We don't even know this Tom Riddle.
"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron.","He sounds like a dirty, rotten switch."
No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?,"The monster had killed somebody, Ron."
"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend.",What would any of us have done?
It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?,"Look, Hard's our friend."
"For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.,Why don't we just go and ask him about it?
"Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard.",That would be a cheerful visit.
"But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?","""Hello, Hard."
"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.,"Mad and hairy? You wouldn't be talking about me, now, would you?"
All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?",No.
"Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.,"What's that you've got, Hard?"
"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know.",It's Flesh-Eating Slug Repelled.
Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do.","For the Mandates, you know."
It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified.","Now, according to Professor Sprout, they've still got a bit of growing to do."
Nobody else knows our password.,It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves.","But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Certified."
Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?,"In the meantime, though, you three had best be looking after yourselves."
"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville.",All right?
And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come.","Hello, Neville."
Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.,Come on!,"Harry, I don't know who did it, but you'd better come."
"All right, listen up.",Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.,Come on!
"We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.,It had to be a Gryffindor.
"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.,Nobody else knows our password.
Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something.",Unless it wasn't a student.
"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.,And they found it.,"Whoever it was, they must have been looking for something."
Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.,And they found it.
This match has been canceled.,Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up.",Tom Riddle's diary is gone.
We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance.","All right, listen up."
"Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter.","We play our game, Hufflepuff doesn't stand a chance."
"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.,"We're stronger, quicker and smarter."
There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.,"Well, that too.",Not to mention they're dead scared that Harry will Verify them if they fly anywhere near him.
I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.,"Well, that too."
This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.,Professor McGonagall.
Hormone!,This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.,This match has been canceled.
She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.",We can't cancel Quidditch.
Does it mean anything to either of you?,She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley.","Silence, Wood. You and your teammates will go to Gryffindor Tower. Now."
No.,Does it mean anything to either of you?,She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.,"Potter, you and I will find Mr. Wesley."
"Could I have your attention, please?",No.,Does it mean anything to either of you?,She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.,I warn you.,There's something the both of you have to see.
"Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.,Does it mean anything to either of you?,She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.,I warn you.
"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.,Does it mean anything to either of you?,She was found near the library along with this.,Hormone!,This could be a wee bit of a shock.
All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.,Does it mean anything to either of you?,She was found near the library along with this.,Hormone!
No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.,Does it mean anything to either of you?,She was found near the library along with this.
I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.,Does it mean anything to either of you?
Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?",No.
"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:","Could I have your attention, please?"
I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening.","Because of recent events, these new rules will be put into effect immediately:"
But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.,"""All students will return to their house common rooms by 6:00 every evening."
We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.,All students will be escorted to each lesson by a teacher.
I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:,No exceptions.
Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.,I should tell you this:
Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron.",Unless the culprit behind these attacks is caught it is likely the school will be closed.
What's that for?,Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.,"We've got to talk to Hard, Ron."
Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.,But you heard McGonagall.
"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.,We're not allowed to leave the tower except for class.
I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?,Who's there?,I think it's time to get my dad's old cloak out again.
Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?,Who's there?
"Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?,Hello? Hello?
"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.,What's that for?
Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.,Nothing. I was expecting... It doesn't matter. Come on in.
What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?",I just made a pot of tea.
"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.,"Hard, are you okay?"
Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?,I'm fine. I'm all right.
"Be quiet, both of you.",Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right.",Did you hear about Hormone?
"Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something.","Oh yeah. I heard about that, all right."
"Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?,"Look, we have to ask you something."
"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...,Do you know who's opened the Chamber of Secrets?
Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.,"Quick, under the cloak.",What you had to understand about that is...
That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.,"Quick, under the cloak."
"Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you.",Don't say a word.
"Bad business, Hard, very bad business.","Cornelius Judge, Minister of Magic.",That's Dad's boss.,Of course. Come in. Come in.,"I wonder, could we...?","Good evening, Hard.","Professor Dumbledore, sir.","Be quiet, both of you."
